State,Year
Alabama,1953
Arizona,1947
Arkansas,1947
Florida,1943
Georgia,1947
Idaho,1985
Indiana,2012
Iowa,1947
Kentucky,2017
Louisiana,1976
Michigan,2012
Mississippi,1954
Nebraska,1947
Nevada,1952
North Carolina,1947
North Dakota,1947
Oklahoma,2001
South Carolina,1954
South Dakota,1947
Tennessee,1947
Texas,1993
Utah,1955
Virginia,1947
Wisconsin,2015
West Virginia,2016
Wyoming,1963
